date,electrical_conductivity_dS_m,pH,nitrate_groundwater_mg_L,ammonium_mg_L,chloride_mg_L,temperature,nitrate_input_mg_L,fertilizer_kg_ha,manure_kg_ha,crop_type,livestock_density_LU_ha,urbanization,soil_type,aquifer_type,permeability_m_day,groundwater_level_cm,precipitation_mm,drought_days,evaporation_mm,sunlight_hours,humidity
1979-11-12,,,0.1,0.23,16.0,,43.7086,118.7414,114.3478,grass,2.2242,medium,sand,confined,8.4396,77.4549,827.4371,58,926.14,2413.5082,47.6435
1980-10-13,5.1979999999999995,7.4,0.1,0.14,21.0,,95.5643,107.1553,106.0969,wheat,2.6095,low,clay,confined,8.1176,256.3012,1166.9754,21,568.8281,1136.2358,48.628
1982-05-10,5.424,7.4,0.1,1.3,28.0,,75.8795,271.8697,160.2441,maize,2.8854,medium,clay,unconfined,7.8693,272.0288,984.8326,32,572.7492,1304.5629,52.9613
1984-05-24,5.537,7.38,0.2,0.15,36.0,,63.8793,211.8595,107.9156,beets,2.971,high,peat,confined,5.7726,173.2564,263.2523,67,666.4981,1242.0488,85.0561
1985-07-02,5.706,7.38,0.3,0.15,40.5,,24.0417,190.0941,53.9884,grass,1.8262,medium,loess,unconfined,1.4305,90.7433,226.3849,95,394.21,1881.747,83.6859
1986-08-11,5.819,7.45,0.3,0.01,40.5,,24.0395,176.6623,41.0549,maize,0.3536,low,sand,unconfined,9.559,291.1996,674.8359,9,549.7849,1144.0645,48.6738
1987-08-13,6.215,7.27,0.3,0.09,46.4,,15.2275,212.5283,185.2889,wheat,1.7775,high,sand,confined,4.7945,287.0429,757.9879,21,521.7173,2306.7999,43.9184
1988-06-28,5.8759999999999994,7.32,0.28,0.12,42.1,,87.9559,238.7189,28.7089,beets,0.6928,low,loess,confined,4.9749,105.3988,227.7569,71,346.4086,1185.7233,64.7509
1989-08-29,5.91,7.32,0.28,0.17,37.5,,64.1004,188.5962,181.5609,maize,1.9802,medium,clay,unconfined,6.2208,121.0694,1002.9621,60,173.3233,1919.4967,55.9289
1990-06-27,6.023,7.24,0.28,0.13,38.09,,73.7265,284.5714,144.2863,wheat,1.0734,high,sand,unconfined,3.601,74.1567,860.0174,27,649.3673,1451.07,88.0112
1991-05-30,6.384,7.38,0.03,0.13,45.26,,11.8526,294.2085,92.8468,wheat,1.6142,high,sand,unconfined,6.6642,249.0055,571.1839,29,603.3227,2106.62,45.7729
1992-07-14,6.452,7.19,0.03,0.12,43.57,,97.2919,298.8356,53.6921,maize,2.0167,low,loess,unconfined,6.8264,218.0141,1140.7818,55,499.202,1045.4186,52.5552
1993-06-17,,,0.034,,43.852,9.3,84.9198,217.3478,75.8868,maize,2.7341,medium,clay,unconfined,9.4888,50.209,1063.6166,52,690.4779,1829.5678,50.793
