,date,pH,electrical_conductivity_dS_m,nitrate_input_mg_L,fertilizer_kg_ha,manure_kg_ha,ammonium_mg_L,chloride_mg_L,crop_type,livestock_density_LU_ha,urbanization,soil_type,aquifer_type,permeability_m_day,groundwater_level_cm,precipitation_mm,drought_days,evaporation_mm,nitrate_groundwater_mg_L,Aluminum (AL),Arsenic (AS),Barium (BA),Calcium (CA),Cadmium (CD),Chloride (CL),Copper (CU),Electrical Conductivity (EC),pH (Lab),Potassium (K),Magnesium (MG),Manganese (MN),Sodium (NA),Ammonium (NH4-N),Nitrate (NO3-N),Total Phosphorus (PTOT-P),Phosphate (PO4-P),Lead (PB),Zinc (ZN),sunlight_hours,humidity_percent,temperature_celsius
0,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,10.0,0.778,63.2,39.598,0.339,10.686,5.018,46.7,5.6,38.934,11.017,0.521,10.537,0.047,23.319,0.087,,0.2,31.492,11.95,51.52,20.94
1,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,10.0,0.838,41.322,114.444,0.05,58.25,0.5,71.8,6.8,1.537,5.498,0.748,28.538,1.695,0.029,0.303,,0.2,4.0,8.18,64.19,19.28
2,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,167.229,0.277,49.718,14.541,0.33,88.598,2.107,41.4,5.13,5.368,1.028,0.097,58.054,0.047,4.279,0.05,,0.219,31.742,8.7,52.56,19.73
3,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,1672.419,0.749,37.622,25.382,1.277,16.226,6.778,36.8,4.46,24.192,7.315,0.02,8.71,0.047,21.316,0.05,,1.398,71.382,8.71,61.99,24.54
4,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,14.123,1.065,33.697,43.511,0.86,16.986,2.646,42.1,5.45,9.492,11.111,0.04,14.996,0.047,16.671,0.05,,0.2,36.082,10.57,57.43,23.99
5,2021-07-27,6.25,0.8,46.97,50.97,81.13,5.2,51.58,wheat,0.75,low,clay,confined,2.71,44.21,44.01,21,45.14,7.28,689.688,0.493,55.399,7.117,0.254,36.617,0.756,19.0,4.83,0.89,0.867,0.013,25.886,0.047,0.656,0.05,,0.247,751.332,9.05,58.58,23.19
6,2023-11-30,5.93,0.91,45.67,97.25,140.51,4.87,61.26,maize,1.55,low,sand,unconfined,1.51,68.73,83.76,11,76.47,16.35,,,,,,,,,,,,,,,,,,,,5.84,81.8,12.39
7,2023-02-05,6.32,0.82,21.27,120.65,92.07,6.9,56.82,grass,4.32,low,sand,unconfined,2.37,74.48,94.35,33,60.31,11.07,,,,,,,,,,,,,,,,,,,,1.28,94.84,0.6
8,2023-04-27,6.76,1.03,51.59,157.48,103.62,8.07,24.44,wheat,1.99,high,loess,confined,7.2,25.35,101.29,17,89.07,19.51,,,,,,,,,,,,,,,,,,,,8.01,83.11,11.69
9,2020-02-02,5.88,1.36,10.2,201.21,128.7,6.37,46.28,sugar beet,4.46,low,loess,unconfined,8.29,67.81,78.16,32,65.34,14.81,,,,,,,,,,,,,,,,,,,,2.44,86.57,1.88
10,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,51.45,3.584,20.316,6.7,0.05,12.477,0.5,10.1,5.57,2.901,2.952,0.03,7.825,0.081,0.029,0.05,,0.2,4.0,10.29,56.3,23.24
11,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,74.878,32.071,149.384,74.068,0.05,14.25,0.5,50.2,6.57,16.322,8.932,0.369,15.699,0.208,0.029,0.05,,0.544,14.365,10.6,66.92,23.68
12,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,10.0,1.738,40.436,49.102,0.05,15.356,0.5,31.1,7.45,0.948,2.332,0.153,11.308,0.262,0.029,0.098,,0.2,4.0,11.31,61.99,24.37
13,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,16.779,4.506,167.595,130.058,0.05,28.205,0.5,76.3,6.62,1.024,4.865,0.848,23.929,1.775,0.029,0.273,,0.2,4.0,9.85,63.79,21.55
14,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,14.331,1.313,141.168,128.323,0.05,35.993,0.5,74.7,6.66,0.998,4.917,0.544,22.32,1.193,0.029,0.189,,0.2,4.0,9.15,53.64,18.36
15,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,10.0,12.324,225.479,115.751,0.05,139.57,0.5,105.1,6.9,30.413,16.9,0.755,64.13,0.269,0.029,0.19,,0.2,4.0,9.67,69.77,20.44
16,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,10.0,4.225,103.909,126.414,0.05,68.476,0.5,83.3,6.92,1.745,13.357,1.667,33.757,1.951,0.029,0.317,,0.2,4.0,10.09,65.3,18.11
17,2023-07-11,5.88,0.77,26.92,184.71,97.64,7.02,63.06,maize,3.74,high,loess,unconfined,2.89,84.48,118.45,36,68.56,11.29,1392.881,0.63,99.564,10.707,1.222,148.146,16.253,55.1,4.65,1.041,1.836,0.025,89.993,0.048,0.198,0.05,,4.816,39.695,10.06,62.81,20.29
18,2024-07-09,6.79,1.3,0.02,91.03,27.29,4.57,58.36,grass,3.58,low,clay,unconfined,8.53,103.07,63.04,18,72.36,0.0,,,,,,,,,,,,,,,,,,,,10.53,59.12,18.28
19,2020-01-26,6.38,0.77,71.17,131.41,141.62,5.25,34.36,wheat,3.84,medium,loess,unconfined,6.5,64.94,35.96,35,65.5,17.61,,,,,,,,,,,,,,,,,,,,2.5,89.02,4.86
20,2021-07-19,5.77,0.75,35.37,153.82,150.2,7.97,58.32,potatoes,2.52,low,peat,confined,3.58,112.43,87.86,42,52.75,16.66,10.0,34.443,2.507,95.812,0.05,87.861,0.5,69.7,7.36,2.778,9.145,0.38,47.959,0.088,0.029,0.05,,0.2,4.0,9.02,67.98,24.82
21,2021-07-19,5.77,0.75,35.37,153.82,150.2,7.97,58.32,potatoes,2.52,low,peat,confined,3.58,112.43,87.86,42,52.75,16.66,10.0,0.2,2.826,91.636,0.05,93.564,0.5,78.4,7.71,2.923,10.999,0.193,66.849,0.346,0.029,0.123,,0.2,4.0,8.73,54.26,22.08
22,2021-07-31,6.27,1.25,83.34,136.89,26.76,6.05,68.3,wheat,1.35,low,loess,unconfined,9.78,91.48,58.3,40,73.79,20.49,,,,,,,,,,,,,,,,,,,,9.66,67.65,24.88
23,2020-06-29,5.77,1.28,56.06,136.54,58.27,4.52,30.47,grass,0.89,low,clay,unconfined,1.55,92.0,83.35,23,70.48,17.62,10.0,1.172,66.375,98.368,0.05,23.931,0.5,64.8,6.82,1.535,13.214,0.484,16.159,3.987,0.029,0.148,,0.2,4.0,11.6,51.91,24.04
24,2020-06-29,5.77,1.28,56.06,136.54,58.27,4.52,30.47,grass,0.89,low,clay,unconfined,1.55,92.0,83.35,23,70.48,17.62,10.0,1.085,100.648,57.838,0.05,28.167,0.5,56.9,6.61,2.053,15.283,0.496,18.243,7.524,0.029,0.132,,0.2,4.0,10.09,62.06,23.77
25,2020-06-29,5.77,1.28,56.06,136.54,58.27,4.52,30.47,grass,0.89,low,clay,unconfined,1.55,92.0,83.35,23,70.48,17.62,381.524,0.825,91.96,6.7,0.05,21.791,9.532,17.2,5.11,12.637,0.801,0.035,19.221,0.047,4.127,0.05,,0.2,4.713,9.55,63.35,18.31
26,2020-06-29,5.77,1.28,56.06,136.54,58.27,4.52,30.47,grass,0.89,low,clay,unconfined,1.55,92.0,83.35,23,70.48,17.62,10.0,0.2,111.528,60.678,0.05,23.013,0.5,56.2,6.42,2.97,13.789,0.558,17.475,7.796,0.029,0.127,,0.2,4.0,11.25,51.21,19.64
27,2020-08-18,5.77,1.26,48.96,63.86,180.96,5.07,10.8,grass,2.48,low,sand,unconfined,8.07,119.67,115.26,32,79.13,13.17,10.0,0.205,20.254,127.01,0.05,106.956,0.5,92.9,7.29,3.546,8.589,0.152,68.334,0.49,0.029,0.217,,0.2,4.0,11.23,58.02,19.69
28,2020-08-18,5.77,1.26,48.96,63.86,180.96,5.07,10.8,grass,2.48,low,sand,unconfined,8.07,119.67,115.26,32,79.13,13.17,10.0,75.806,3.36,123.979,0.05,40.86,0.5,99.2,7.6,49.864,34.319,0.102,27.508,1.642,0.029,1.147,,0.2,4.0,8.09,56.85,22.06
29,2020-08-18,5.77,1.26,48.96,63.86,180.96,5.07,10.8,grass,2.48,low,sand,unconfined,8.07,119.67,115.26,32,79.13,13.17,119.059,1.861,854.488,16.657,0.064,1141.413,3.512,502.0,8.01,42.0,34.845,0.018,1194.452,1.793,0.029,25.469,,0.248,818.44,11.41,65.58,22.4
30,2020-08-18,5.77,1.26,48.96,63.86,180.96,5.07,10.8,grass,2.48,low,sand,unconfined,8.07,119.67,115.26,32,79.13,13.17,10.0,0.598,61.945,123.87,0.05,88.446,2.311,95.2,6.83,18.527,9.105,0.033,62.101,0.048,2.602,0.05,,0.2,4.0,10.55,63.29,24.09
31,2020-08-18,5.77,1.26,48.96,63.86,180.96,5.07,10.8,grass,2.48,low,sand,unconfined,8.07,119.67,115.26,32,79.13,13.17,10.0,1.319,82.301,150.296,0.05,25.601,0.5,90.0,6.96,22.59,13.4,0.27,22.596,1.85,0.029,0.2,,0.2,4.0,8.96,55.72,23.92
32,2024-03-09,6.12,0.61,28.28,92.36,109.28,7.07,85.48,potatoes,1.88,low,peat,unconfined,6.58,115.42,109.79,24,64.61,8.38,,,,,,,,,,,,,,,,,,,,7.07,71.82,10.68
33,2021-11-19,5.04,0.86,19.07,129.85,100.14,7.25,56.31,potatoes,3.29,high,clay,unconfined,9.68,81.74,73.47,1,52.27,6.13,,,,,,,,,,,,,,,,,,,,4.66,87.76,9.24
34,2021-09-30,5.14,1.25,50.46,-4.66,82.94,3.32,40.85,potatoes,1.75,low,sand,unconfined,8.38,58.98,17.13,55,53.7,4.86,,,,,,,,,,,,,,,,,,,,5.59,83.33,9.09
35,2023-02-18,5.72,1.01,38.57,182.03,58.77,5.73,40.17,sugar beet,0.29,low,sand,unconfined,4.61,82.69,62.93,5,70.25,17.83,,,,,,,,,,,,,,,,,,,,2.77,91.92,1.39
36,2020-12-23,5.49,0.68,13.21,81.37,92.22,4.98,52.94,grass,1.9,high,loess,unconfined,8.33,111.73,104.11,0,57.02,14.1,,,,,,,,,,,,,,,,,,,,2.36,92.2,3.85
37,2023-09-25,6.16,1.14,9.66,184.34,138.98,4.87,70.82,maize,4.42,low,peat,confined,0.11,128.93,115.08,42,69.89,4.45,,,,,,,,,,,,,,,,,,,,3.93,77.91,9.89
38,2020-11-21,5.55,0.79,20.83,179.95,99.37,7.66,19.8,sugar beet,3.53,low,loess,confined,0.6,68.17,91.37,20,89.47,11.22,,,,,,,,,,,,,,,,,,,,4.35,82.03,10.18
39,2020-06-18,5.29,1.54,76.42,122.82,124.41,4.52,41.98,grass,1.93,medium,loess,unconfined,5.01,80.13,62.86,52,50.05,11.55,13.04,0.941,14.621,41.249,0.05,4868.0,0.5,807.0,7.51,61.279,97.474,0.116,1736.324,5.184,0.029,7.904,,0.2,4.0,10.96,61.5,19.79
