date;pH;electrical_conductivity_dS_m;nitrate_input_mg_L;fertilizer_kg_ha;manure_kg_ha;ammonium_mg_L;chloride_mg_L;crop_type;livestock_density_LU_ha;urbanization;soil_type;aquifer_type;permeability_m_day;groundwater_level_cm;precipitation_mm;drought_days;evaporation_mm;nitrate_groundwater_mg_L
27-7-2021;6.25;0.8;46.97;50.97;81.13;5.2;51.58;wheat;0.75;low;clay;confined;2.71;44.21;44.01;21;45.14;7.28
30-11-2023;5.93;0.91;45.67;97.25;140.51;4.87;61.26;maize;1.55;low;sand;unconfined;1.51;68.73;83.76;11;76.47;16.35
2-5-2023;6.32;0.82;21.27;120.65;92.07;6.9;56.82;grass;4.32;low;sand;unconfined;2.37;74.48;94.35;33;60.31;11.07
27-4-2023;6.76;1.03;51.59;157.48;103.62;8.07;24.44;wheat;1.99;high;loess;confined;7.2;25.35;101.29;17;89.07;19.51
2-2-2020;5.88;1.36;10.2;201.21;128.7;6.37;46.28;sugar beet;4.46;low;loess;unconfined;8.29;67.81;78.16;32;65.34;14.81
7-11-2023;5.88;0.77;26.92;184.71;97.64;7.02;63.06;maize;3.74;high;loess;unconfined;2.89;84.48;118.45;36;68.56;11.29
7-9-2024;6.79;1.3;0.02;91.03;27.29;4.57;58.36;grass;3.58;low;clay;unconfined;8.53;103.07;63.04;18;72.36;0.0
26-1-2020;6.38;0.77;71.17;131.41;141.62;5.25;34.36;wheat;3.84;medium;loess;unconfined;6.5;64.94;35.96;35;65.5;17.61
19-7-2021;5.77;0.75;35.37;153.82;150.2;7.97;58.32;potatoes;2.52;low;peat;confined;3.58;112.43;87.86;42;52.75;16.66
31-7-2021;6.27;1.25;83.34;136.89;26.76;6.05;68.3;wheat;1.35;low;loess;unconfined;9.78;91.48;58.3;40;73.79;20.49
29-6-2020;5.77;1.28;56.06;136.54;58.27;4.52;30.47;grass;0.89;low;clay;unconfined;1.55;92.0;83.35;23;70.48;17.62
18-8-2020;5.77;1.26;48.96;63.86;180.96;5.07;10.8;grass;2.48;low;sand;unconfined;8.07;119.67;115.26;32;79.13;13.17
3-9-2024;6.12;0.61;28.28;92.36;109.28;7.07;85.48;potatoes;1.88;low;peat;unconfined;6.58;115.42;109.79;24;64.61;8.38
19-11-2021;5.04;0.86;19.07;129.85;100.14;7.25;56.31;potatoes;3.29;high;clay;unconfined;9.68;81.74;73.47;1;52.27;6.13
30-9-2021;5.14;1.25;50.46;-4.66;82.94;3.32;40.85;potatoes;1.75;low;sand;unconfined;8.38;58.98;17.13;55;53.7;4.86
18-2-2023;5.72;1.01;38.57;182.03;58.77;5.73;40.17;sugar beet;0.29;low;sand;unconfined;4.61;82.69;62.93;5;70.25;17.83
23-12-2020;5.49;0.68;13.21;81.37;92.22;4.98;52.94;grass;1.9;high;loess;unconfined;8.33;111.73;104.11;0;57.02;14.1
25-9-2023;6.16;1.14;9.66;184.34;138.98;4.87;70.82;maize;4.42;low;peat;confined;0.11;128.93;115.08;42;69.89;4.45
21-11-2020;5.55;0.79;20.83;179.95;99.37;7.66;19.8;sugar beet;3.53;low;loess;confined;0.6;68.17;91.37;20;89.47;11.22
