iter	RMSE
0	11.05882098
1	10.68552155
2	10.33515323
3	9.999126545
4	9.696710406
5	9.44307751
6	9.167066364
7	8.945322821
8	8.761569068
9	8.575590845
10	8.43536192
11	8.319795654
12	8.199196784
13	8.063642547
14	7.956451725
15	7.811431652
16	7.738566009
17	7.640821127
18	7.558671365
19	7.484336372
20	7.416127678
21	7.323424098
22	7.261911143
23	7.184657733
24	7.100131562
25	7.059456591
26	7.013926332
27	6.968947882
28	6.891558326
29	6.846258742
30	6.809939783
31	6.780533181
32	6.749155885
33	6.714312216
34	6.652218378
35	6.638222039
36	6.617678095
37	6.591491307
38	6.571908876
39	6.555155754
40	6.511248359
41	6.473157644
42	6.442480422
43	6.412754862
44	6.396975403
45	6.382333914
46	6.348703795
47	6.307155643
48	6.2840618
49	6.233290553
50	6.217807654
51	6.202561181
52	6.15929855
53	6.137918194
54	6.111416833
55	6.094918042
56	6.072406304
57	6.026830805
58	5.996920728
59	5.9571123
60	5.910392387
61	5.894926722
62	5.877171347
63	5.852984448
64	5.837295559
65	5.829304854
66	5.791246308
67	5.776002233
68	5.748871987
69	5.735888876
70	5.717301161
71	5.698759741
72	5.664370049
73	5.642828172
74	5.61398244
75	5.59286409
76	5.578640175
77	5.564696041
78	5.543218795
79	5.491408933
80	5.473398344
81	5.451798927
82	5.431080117
83	5.412941218
84	5.390801741
85	5.377694944
86	5.359803528
87	5.342406032
88	5.319309709
89	5.293510113
90	5.275975502
91	5.261170803
92	5.251221445
93	5.23446271
94	5.22692853
95	5.206332456
96	5.198139886
97	5.181906082
98	5.150336909
99	5.136682223
100	5.11292333
101	5.075447644
102	5.054156753
103	5.045127937
104	5.015220575
105	4.988029262
106	4.973226114
107	4.95861707
108	4.929214067
109	4.915552973
110	4.900908014
111	4.885308091
112	4.879414854
113	4.859501352
114	4.834761279
115	4.806849653
116	4.799356533
117	4.786233246
118	4.765721476
119	4.750745658
120	4.740693106
121	4.735478908
122	4.712895942
123	4.695771002
124	4.681858504
125	4.674118898
126	4.661361998
127	4.649933151
128	4.639957978
129	4.620190305
130	4.596168627
131	4.577539342
132	4.557351434
133	4.550633645
134	4.54403973
135	4.537689105
136	4.52200197
137	4.499568363
138	4.490475575
139	4.477517844
140	4.457029489
141	4.442797497
142	4.43291619
143	4.423065033
144	4.406513257
145	4.386801149
146	4.369094275
147	4.347577976
148	4.333220624
149	4.317425155
150	4.30936088
151	4.298265894
152	4.2750087
153	4.255047495
154	4.240274464
155	4.232130767
156	4.215907315
157	4.203216184
158	4.192732733
159	4.180761557
160	4.166674489
161	4.15478048
162	4.136285935
163	4.126578922
164	4.107741508
165	4.088958672
166	4.073603192
167	4.061329693
168	4.052591528
169	4.041824415
170	4.03782137
171	4.03039682
172	4.011999596
173	3.998289938
174	3.988042383
175	3.973090534
176	3.958533032
177	3.950055485
178	3.937738
179	3.9267731
180	3.919716406
181	3.906763207
182	3.897016884
183	3.875351217
184	3.865186712
185	3.846743625
186	3.844307765
187	3.832468982
188	3.825476701
189	3.809644017
190	3.797668468
191	3.785921052
192	3.774931439
193	3.764523348
194	3.75147962
195	3.741683968
196	3.732955837
197	3.726202285
198	3.720849794
199	3.701551989
