iter	Passed	Remaining
0	143	28603
1	168	16729
2	193	12699
3	217	10679
4	246	9607
5	273	8835
6	299	8259
7	325	7820
8	352	7482
9	377	7168
10	404	6945
11	428	6719
12	453	6530
13	480	6389
14	507	6261
15	532	6128
16	559	6018
17	585	5923
18	616	5871
19	640	5762
20	667	5687
21	692	5605
22	719	5536
23	743	5451
24	770	5396
25	796	5329
26	824	5283
27	851	5232
28	880	5190
29	904	5125
30	929	5067
31	957	5025
32	983	4977
33	1009	4927
34	1035	4882
35	1062	4839
36	1086	4786
37	1114	4753
38	1139	4705
39	1165	4660
40	1192	4624
41	1218	4583
42	1245	4545
43	1275	4523
44	1304	4494
45	1330	4455
46	1357	4418
47	1381	4376
48	1410	4345
49	1436	4310
50	1464	4280
51	1490	4243
52	1517	4210
53	1547	4184
54	1575	4153
55	1602	4120
56	1629	4088
57	1655	4053
58	1681	4019
59	1710	3990
60	1734	3953
61	1763	3924
62	1787	3887
63	1815	3857
64	1844	3830
65	1871	3800
66	1899	3771
67	1926	3740
68	1952	3706
69	1978	3675
70	2005	3644
71	2030	3609
72	2056	3577
73	2081	3544
74	2110	3516
75	2134	3483
76	2163	3455
77	2187	3421
78	2213	3389
79	2242	3363
80	2272	3338
81	2296	3304
82	2323	3275
83	2347	3241
84	2373	3211
85	2399	3180
86	2426	3152
87	2450	3119
88	2476	3088
89	2502	3058
90	2528	3029
91	2552	2996
92	2579	2968
93	2608	2940
94	2637	2915
95	2663	2885
96	2690	2856
97	2717	2828
98	2744	2799
99	2771	2771
100	2795	2740
101	2820	2709
102	2845	2679
103	2873	2652
104	2902	2626
105	2927	2595
106	2953	2567
107	2977	2536
108	3004	2508
109	3030	2479
110	3059	2452
111	3082	2422
112	3107	2392
113	3134	2364
114	3159	2334
115	3185	2306
116	3208	2276
117	3239	2251
118	3265	2222
119	3292	2194
120	3315	2164
121	3342	2137
122	3371	2110
123	3396	2081
124	3422	2053
125	3446	2024
126	3473	1996
127	3501	1969
128	3525	1940
129	3554	1913
130	3581	1886
131	3607	1858
132	3635	1831
133	3661	1803
134	3685	1774
135	3706	1744
136	3728	1714
137	3749	1684
138	3771	1655
139	3795	1626
140	3824	1600
141	3849	1572
142	3869	1542
143	3894	1514
144	3917	1485
145	3937	1456
146	3961	1428
147	3985	1400
148	4006	1371
149	4027	1342
150	4050	1314
151	4071	1285
152	4093	1257
153	4115	1229
154	4137	1201
155	4160	1173
156	4183	1145
157	4203	1117
158	4224	1089
159	4247	1061
160	4270	1034
161	4294	1007
162	4317	980
163	4338	952
164	4359	924
165	4383	897
166	4404	870
167	4426	843
168	4449	816
169	4471	789
170	4493	762
171	4517	735
172	4541	708
173	4564	682
174	4589	655
175	4612	629
176	4635	602
177	4659	575
178	4684	549
179	4708	523
180	4731	496
181	4754	470
182	4780	444
183	4805	417
184	4828	391
185	4853	365
186	4878	339
187	4901	312
188	4925	286
189	4950	260
190	4975	234
191	4999	208
192	5024	182
193	5048	156
194	5072	130
195	5096	104
196	5122	78
197	5146	51
198	5171	25
199	5196	0
